epoch,accuracy,loss,val_accuracy,val_loss
0,0.3919180631637573,1.3192369937896729,0.5072046518325806,1.2531894445419312
1,0.6764461398124695,0.9501645565032959,0.6829971671104431,0.8631578087806702
2,0.8040409684181213,0.5494653582572937,0.7031700611114502,0.7828485369682312
3,0.8530307412147522,0.3984684944152832,0.7002882361412048,0.8136880397796631
4,0.8887351155281067,0.3174518644809723,0.7002882361412048,0.8442566394805908
5,0.9161362051963806,0.2536449730396271,0.6945245265960693,0.9082814455032349
6,0.9352338910102844,0.20669689774513245,0.6974063515663147,1.0006593465805054
7,0.9460282325744629,0.17323490977287292,0.691642701625824,1.0254487991333008
8,0.9526709318161011,0.1538582593202591,0.691642701625824,1.0557963848114014
9,0.9595903754234314,0.1328880786895752,0.691642701625824,1.111556887626648
10,0.9645723700523376,0.12009120732545853,0.680115282535553,1.1894766092300415
11,0.9698311686515808,0.10840918123722076,0.6599423885345459,1.25908362865448
12,0.9690008163452148,0.10210207104682922,0.6743516325950623,1.2536569833755493
13,0.9717686176300049,0.09075505286455154,0.6945245265960693,1.291432499885559
14,0.9709382653236389,0.0987987071275711,0.691642701625824,1.367841362953186
15,0.973706066608429,0.08315737545490265,0.6858789920806885,1.35147225856781
16,0.973706066608429,0.08451005071401596,0.6772334575653076,1.338842749595642
17,0.973706066608429,0.07715543359518051,0.6714697480201721,1.4032416343688965
18,0.975089967250824,0.0715336874127388,0.6772334575653076,1.4103788137435913
